measure,pack,id,samp_date,spectrum,meas date,YB,YH,YC,ok,habitat,sex,age,nest
1,2,BC110,5.6.13,COL_AM_POLLOS_0066,15.05.21,10.9093143,493,0.502712623,1,Urban,2,Pull,P55
1,1,BC124,5.6.13,COL_AM_POLLOS_0067,15.05.21,9.319792742,493,0.511539497,1,Forest,2,Pull,V153
1,1,BC124,5.6.13,COL_AM_POLLOS_0068,15.05.21,11.40171723,498,0.530425501,1,Forest,2,Pull,V153
1,1,BC124,5.6.13,COL_AM_POLLOS_0069,15.05.21,8.883306042,493,0.680660766,1,Forest,2,Pull,V153
1,2,BC124,5.6.13,COL_AM_POLLOS_0070,15.05.21,8.633349895,493,0.657627557,1,Forest,2,Pull,V153
1,2,BC124,5.6.13,COL_AM_POLLOS_0071,15.05.21,9.551591771,498,0.535721053,1,Forest,2,Pull,V153
1,2,BC124,5.6.13,COL_AM_POLLOS_0072,15.05.21,10.73306312,493,0.544339133,1,Forest,2,Pull,V153
1,1,BC125,5.6.13,COL_AM_POLLOS_0073,15.05.21,8.375456301,493,0.503858094,1,Forest,2,Pull,V153
1,1,BC125,5.6.13,COL_AM_POLLOS_0074,15.05.21,8.151755788,493,0.522584453,1,Forest,2,Pull,V153
1,1,BC125,5.6.13,COL_AM_POLLOS_0075,15.05.21,9.291909227,493,0.505287572,1,Forest,2,Pull,V153
1,2,BC125,5.6.13,COL_AM_POLLOS_0076,15.05.21,8.300673664,493,0.451130607,1,Forest,2,Pull,V153
1,2,BC125,5.6.13,COL_AM_POLLOS_0077,15.05.21,7.695228389,493,0.54524767,1,Forest,2,Pull,V153
1,2,BC125,5.6.13,COL_AM_POLLOS_0078,15.05.21,7.480137785,493,0.541057577,1,Forest,2,Pull,V153
1,1,BA73,11.6.13,COL_AM_POLLOS_0079,15.05.21,8.136340769,493,0.536013859,1,Urban,1,Pull,P31
1,1,BA73,11.6.13,COL_AM_POLLOS_0080,15.05.21,9.196419031,493,0.433444109,1,Urban,1,Pull,P31
1,1,BA73,11.6.13,COL_AM_POLLOS_0081,15.05.21,8.618723125,493,0.506431596,1,Urban,1,Pull,P31
1,2,BA73,11.6.13,COL_AM_POLLOS_0082,15.05.21,8.393257644,493,0.48639843,1,Urban,1,Pull,P31
1,2,BA73,11.6.13,COL_AM_POLLOS_0083,15.05.21,8.558205028,498,0.46594511,1,Urban,1,Pull,P31
1,2,BA73,11.6.13,COL_AM_POLLOS_0084,15.05.21,8.712411269,493,0.438217341,1,Urban,1,Pull,P31
1,1,BA77,11.6.13,COL_AM_POLLOS_0085,15.05.21,9.035312247,493,0.532333062,1,Urban,2,Pull,P138
1,1,BA77,11.6.13,COL_AM_POLLOS_0086,15.05.21,9.366187852,493,0.495681405,1,Urban,2,Pull,P138
1,1,BA77,11.6.13,COL_AM_POLLOS_0087,15.05.21,9.623017964,493,0.477790924,1,Urban,2,Pull,P138
1,2,BA77,11.6.13,COL_AM_POLLOS_0088,15.05.21,8.082253206,493,0.539211918,1,Urban,2,Pull,P138
1,2,BA77,11.6.13,COL_AM_POLLOS_0089,15.05.21,9.185526008,498,0.504930637,1,Urban,2,Pull,P138
1,2,BA77,11.6.13,COL_AM_POLLOS_0090,15.05.21,9.849925202,493,0.446270026,1,Urban,2,Pull,P138
1,1,BA80,11.6.13,COL_AM_POLLOS_0091,15.05.21,8.994773526,493,0.507787731,1,Urban,2,Pull,P138
1,1,BA80,11.6.13,COL_AM_POLLOS_0092,15.05.21,10.23742119,498,0.536701033,1,Urban,2,Pull,P138
1,1,BA80,11.6.13,COL_AM_POLLOS_0093,15.05.21,9.745258498,493,0.484311729,1,Urban,2,Pull,P138
1,2,BA80,11.6.13,COL_AM_POLLOS_0094,15.05.21,9.088117144,493,0.586580691,1,Urban,2,Pull,P138
1,2,BA80,11.6.13,COL_AM_POLLOS_0095,15.05.21,10.8260902,493,0.431204571,1,Urban,2,Pull,P138
1,2,BA80,11.6.13,COL_AM_POLLOS_0096,15.05.21,10.4599726,493,0.453010803,1,Urban,2,Pull,P138
1,1,BA81,11.6.13,COL_AM_POLLOS_0097,15.05.21,9.720777486,498,0.465493401,1,Urban,2,Pull,P138
1,1,BA81,11.6.13,COL_AM_POLLOS_0098,15.05.21,12.82051608,498,0.490270429,1,Urban,2,Pull,P138
1,1,BA81,11.6.13,COL_AM_POLLOS_0099,15.05.21,10.54604872,498,0.390548265,1,Urban,2,Pull,P138
1,2,BA81,11.6.13,COL_AM_POLLOS_0100,15.05.21,12.11342291,498,0.495979747,1,Urban,2,Pull,P138
1,2,BA81,11.6.13,COL_AM_POLLOS_0101,15.05.21,11.87883624,498,0.496937038,1,Urban,2,Pull,P138
1,2,BA81,11.6.13,COL_AM_POLLOS_0102,15.05.21,11.50939691,498,0.510491285,1,Urban,2,Pull,P138
1,1,BA82,11.6.13,COL_AM_POLLOS_0103,15.05.21,8.305867388,498,0.468861333,1,Urban,2,Pull,P138
1,1,BA82,11.6.13,COL_AM_POLLOS_0104,15.05.21,9.55268298,498,0.504398506,1,Urban,2,Pull,P138
1,1,BA82,11.6.13,COL_AM_POLLOS_0105,15.05.21,9.969096996,493,0.476092379,1,Urban,2,Pull,P138
1,2,BA82,11.6.13,COL_AM_POLLOS_0106,15.05.21,10.78234203,498,0.426664705,1,Urban,2,Pull,P138
1,2,BA82,11.6.13,COL_AM_POLLOS_0107,15.05.21,9.882183295,498,0.482277573,1,Urban,2,Pull,P138
1,2,BA82,11.6.13,COL_AM_POLLOS_0108,15.05.21,8.880963581,493,0.46548575,1,Urban,2,Pull,P138
1,1,BA90,14.6.13,COL_AM_POLLOS_0109,15.05.21,10.49692031,498,0.351504412,1,Urban,1,Pull,P67
1,1,BA90,14.6.13,COL_AM_POLLOS_0110,15.05.21,9.770222391,493,0.29860247,1,Urban,1,Pull,P67
1,1,BA90,14.6.13,COL_AM_POLLOS_0111,15.05.21,10.01334834,498,0.321937899,1,Urban,1,Pull,P67
1,2,BA90,14.6.13,COL_AM_POLLOS_0112,15.05.21,9.900000453,493,0.330367501,1,Urban,1,Pull,P67
1,2,BA90,14.6.13,COL_AM_POLLOS_0113,15.05.21,11.6830492,493,0.256200351,1,Urban,1,Pull,P67
1,2,BA90,14.6.13,COL_AM_POLLOS_0114,15.05.21,10.30573131,493,0.318372775,1,Urban,1,Pull,P67
1,1,BA91,14.6.13,COL_AM_POLLOS_0115,15.05.21,11.21183964,498,0.377602389,1,Urban,2,Pull,P67
1,1,BA91,14.6.13,COL_AM_POLLOS_0116,15.05.21,11.58148207,498,0.418736397,1,Urban,2,Pull,P67
1,1,BA91,14.6.13,COL_AM_POLLOS_0117,15.05.21,11.76855266,498,0.406720369,1,Urban,2,Pull,P67
1,2,BA91,14.6.13,COL_AM_POLLOS_0118,15.05.21,11.51739327,493,0.392211053,1,Urban,2,Pull,P67
1,2,BA91,14.6.13,COL_AM_POLLOS_0119,15.05.21,11.16431179,493,0.422519287,1,Urban,2,Pull,P67
1,2,BA91,14.6.13,COL_AM_POLLOS_0120,15.05.21,11.5206049,498,0.456387467,1,Urban,2,Pull,P67
1,1,BC128,5.6.13,COL_AM_POLLOS_0121,16.05.21,10.92907136,498,0.449223183,1,Forest,2,Pull,V153
1,1,BC128,5.6.13,COL_AM_POLLOS_0122,16.05.21,10.55448703,498,0.427790069,1,Forest,2,Pull,V153
1,1,BC128,5.6.13,COL_AM_POLLOS_0123,16.05.21,11.20791009,493,0.413788579,1,Forest,2,Pull,V153
1,2,BC128,5.6.13,COL_AM_POLLOS_0124,16.05.21,9.119072186,498,0.455398118,1,Forest,2,Pull,V153
1,2,BC128,5.6.13,COL_AM_POLLOS_0125,16.05.21,13.90268162,493,0.44666389,1,Forest,2,Pull,V153
1,2,BC128,5.6.13,COL_AM_POLLOS_0126,16.05.21,10.46174729,498,0.549674874,1,Forest,2,Pull,V153
1,1,BC129,5.6.13,COL_AM_POLLOS_0127,16.05.21,8.967118034,493,0.585178682,1,Forest,2,Pull,V153
1,1,BC129,5.6.13,COL_AM_POLLOS_0128,16.05.21,7.722778233,493,0.550580707,1,Forest,2,Pull,V153
1,1,BC129,5.6.13,COL_AM_POLLOS_0129,16.05.21,10.82908219,493,0.548976501,1,Forest,2,Pull,V153
1,2,BC129,5.6.13,COL_AM_POLLOS_0130,16.05.21,10.91076476,498,0.446395362,1,Forest,2,Pull,V153
1,2,BC129,5.6.13,COL_AM_POLLOS_0131,16.05.21,9.004213784,493,0.494274958,1,Forest,2,Pull,V153
1,2,BC129,5.6.13,COL_AM_POLLOS_0132,16.05.21,8.01888928,493,0.488478931,1,Forest,2,Pull,V153
1,1,BC149,7.6.13,COL_AM_POLLOS_0133,16.05.21,12.42488905,498,0.681980666,1,Forest,2,Pull,V148
1,1,BC149,7.6.13,COL_AM_POLLOS_0134,16.05.21,11.32800682,498,0.605168048,1,Forest,2,Pull,V148
1,1,BC149,7.6.13,COL_AM_POLLOS_0135,16.05.21,13.23248064,498,0.570198733,1,Forest,2,Pull,V148
1,2,BC149,7.6.13,COL_AM_POLLOS_0136,16.05.21,12.63715458,498,0.506762566,1,Forest,2,Pull,V148
1,2,BC149,7.6.13,COL_AM_POLLOS_0137,16.05.21,10.3169262,498,0.39297107,1,Forest,2,Pull,V148
1,2,BC149,7.6.13,COL_AM_POLLOS_0138,16.05.21,12.97547182,498,0.58268033,1,Forest,2,Pull,V148
1,1,BC150,7.6.13,COL_AM_POLLOS_0139,16.05.21,11.63716443,498,0.636379922,1,Forest,1,Pull,V148
1,1,BC150,7.6.13,COL_AM_POLLOS_0140,16.05.21,11.57911249,498,0.568841907,1,Forest,1,Pull,V148
1,1,BC150,7.6.13,COL_AM_POLLOS_0141,16.05.21,10.66971078,498,0.602128933,1,Forest,1,Pull,V148
1,2,BC150,7.6.13,COL_AM_POLLOS_0142,16.05.21,12.62601007,498,0.607392923,1,Forest,1,Pull,V148
1,2,BC150,7.6.13,COL_AM_POLLOS_0143,16.05.21,11.19947227,498,0.597558354,1,Forest,1,Pull,V148
1,2,BC150,7.6.13,COL_AM_POLLOS_0144,16.05.21,13.42922502,498,0.673570124,1,Forest,1,Pull,V148
1,1,BC151,7.6.13,COL_AM_POLLOS_0145,16.05.21,9.9882299,498,0.765587825,1,Forest,1,Pull,V148
1,1,BC151,7.6.13,COL_AM_POLLOS_0146,16.05.21,10.48806291,493,0.596616444,1,Forest,1,Pull,V148
1,1,BC151,7.6.13,COL_AM_POLLOS_0147,16.05.21,8.623274157,493,0.555139993,1,Forest,1,Pull,V148
1,2,BC151,7.6.13,COL_AM_POLLOS_0148,16.05.21,10.56011729,493,0.505056521,1,Forest,1,Pull,V148
1,2,BC151,7.6.13,COL_AM_POLLOS_0149,16.05.21,9.256806492,498,0.555199022,1,Forest,1,Pull,V148
1,2,BC151,7.6.13,COL_AM_POLLOS_0150,16.05.21,10.86781028,498,0.524434409,1,Forest,1,Pull,V148
1,1,BC153,7.6.13,COL_AM_POLLOS_0151,16.05.21,11.64978829,498,0.680917975,1,Forest,1,Pull,V148
