measure,pack,id,Ring,samp_date,spectrum,YB,YC,meanyb,meanyc,habitat,sex,age,nest,ok
1,2,PB304,2KS92392,01.06.14,GT_AMAR_0112,7.187593493,0.654000531,7.655668759,0.640864819,Urban,2,2K,S124,1
1,2,PB304,2KS92392,01.06.14,GT_AMAR_0113,8.946596949,0.603356634,7.655668759,0.640864819,Urban,2,2K,S124,1
1,2,PB304,2KS92392,01.06.14,GT_AMAR_0114,8.844674005,0.59055418,7.655668759,0.640864819,Urban,2,2K,S124,1
1,1,PB306,2KS92393,01.06.14,GT_AMAR_0115,13.71402143,0.660393898,13.93675049,0.709429268,Urban,1,3K+,P129,1
1,1,PB306,2KS92393,01.06.14,GT_AMAR_0116,14.84911347,0.688750621,13.93675049,0.709429268,Urban,1,3K+,P129,1
1,1,PB306,2KS92393,01.06.14,GT_AMAR_0117,13.91888857,0.679301958,13.93675049,0.709429268,Urban,1,3K+,P129,1
1,2,PB306,2KS92393,01.06.14,GT_AMAR_0118,14.19114686,0.741602683,13.93675049,0.709429268,Urban,1,3K+,P129,1
1,2,PB306,2KS92393,01.06.14,GT_AMAR_0119,12.99814889,0.740025712,13.93675049,0.709429268,Urban,1,3K+,P129,1
1,2,PB306,2KS92393,01.06.14,GT_AMAR_0120,13.9491837,0.746500739,13.93675049,0.709429268,Urban,1,3K+,P129,1
2,1,PB204,2KP22167,29.05.14,GT_AMAR_0121,13.14503017,0.570990935,11.64167026,0.485280584,Forest,2,2K,V327,1
2,1,PB204,2KP22167,29.05.14,GT_AMAR_0122,8.461962538,0.482436094,11.64167026,0.485280584,Forest,2,2K,V327,1
2,1,PB204,2KP22167,29.05.14,GT_AMAR_0123,12.51176488,0.508017143,11.64167026,0.485280584,Forest,2,2K,V327,1
2,2,PB204,2KP22167,29.05.14,GT_AMAR_0124,12.08637492,0.461345062,11.64167026,0.485280584,Forest,2,2K,V327,1
2,2,PB204,2KP22167,29.05.14,GT_AMAR_0125,11.79411132,0.461132356,11.64167026,0.485280584,Forest,2,2K,V327,1
2,2,PB204,2KP22167,29.05.14,GT_AMAR_0126,11.85077773,0.427761913,11.64167026,0.485280584,Forest,2,2K,V327,1
2,1,PB158,2KR97419,27.05.14,GT_AMAR_0127,12.47983727,0.609686411,12.31962153,0.609859727,Forest,1,3K+,V32,1
2,1,PB158,2KR97419,27.05.14,GT_AMAR_0128,13.11445785,0.557965526,12.31962153,0.609859727,Forest,1,3K+,V32,1
2,1,PB158,2KR97419,27.05.14,GT_AMAR_0129,11.03338338,0.597888131,12.31962153,0.609859727,Forest,1,3K+,V32,1
2,2,PB158,2KR97419,27.05.14,GT_AMAR_0130,11.84300481,0.570773749,12.31962153,0.609859727,Forest,1,3K+,V32,1
2,2,PB158,2KR97419,27.05.14,GT_AMAR_0131,13.11272863,0.622399326,12.31962153,0.609859727,Forest,1,3K+,V32,1
2,2,PB158,2KR97419,27.05.14,GT_AMAR_0132,12.33431725,0.700445217,12.31962153,0.609859727,Forest,1,3K+,V32,1
2,1,PB154,2KR97540,27.05.14,GT_AMAR_0133,11.19554377,0.648748,10.96022201,0.669602522,Forest,1,2K,V27,1
2,1,PB154,2KR97540,27.05.14,GT_AMAR_0134,10.70127749,0.717312435,10.96022201,0.669602522,Forest,1,2K,V27,1
2,1,PB154,2KR97540,27.05.14,GT_AMAR_0135,11.09585982,0.740590173,10.96022201,0.669602522,Forest,1,2K,V27,1
2,2,PB154,2KR97540,27.05.14,GT_AMAR_0136,11.56459127,0.603186879,10.96022201,0.669602522,Forest,1,2K,V27,1
2,2,PB154,2KR97540,27.05.14,GT_AMAR_0137,10.3798454,0.637646527,10.96022201,0.669602522,Forest,1,2K,V27,1
2,2,PB154,2KR97540,27.05.14,GT_AMAR_0138,10.82421432,0.670131118,10.96022201,0.669602522,Forest,1,2K,V27,1
2,1,PB185,2KS91242,28.05.14,GT_AMAR_0139,12.73810748,0.516241919,11.67919974,0.537301267,Urban,1,2K,P26,1
2,1,PB185,2KS91242,28.05.14,GT_AMAR_0140,11.15345805,0.553989091,11.67919974,0.537301267,Urban,1,2K,P26,1
2,1,PB185,2KS91242,28.05.14,GT_AMAR_0141,12.06684652,0.470366417,11.67919974,0.537301267,Urban,1,2K,P26,1
2,2,PB185,2KS91242,28.05.14,GT_AMAR_0142,11.14022651,0.412251611,11.67919974,0.537301267,Urban,1,2K,P26,1
2,2,PB185,2KS91242,28.05.14,GT_AMAR_0143,11.35881591,0.570300912,11.67919974,0.537301267,Urban,1,2K,P26,1
2,2,PB185,2KS91242,28.05.14,GT_AMAR_0144,11.61774398,0.700657651,11.67919974,0.537301267,Urban,1,2K,P26,1
2,1,PB165,2KR97424,27.05.14,GT_AMAR_0145,14.56307104,0.513312308,14.82937016,0.454841533,Forest,1,2K,V50,1
2,1,PB165,2KR97424,27.05.14,GT_AMAR_0146,15.26987088,0.404332312,14.82937016,0.454841533,Forest,1,2K,V50,1
2,1,PB165,2KR97424,27.05.14,GT_AMAR_0147,15.03536334,0.461161539,14.82937016,0.454841533,Forest,1,2K,V50,1
2,2,PB165,2KR97424,27.05.14,GT_AMAR_0148,13.90502816,0.452732528,14.82937016,0.454841533,Forest,1,2K,V50,1
2,2,PB165,2KR97424,27.05.14,GT_AMAR_0149,14.83114968,0.420271803,14.82937016,0.454841533,Forest,1,2K,V50,1
2,2,PB165,2KR97424,27.05.14,GT_AMAR_0150,15.37173784,0.477238708,14.82937016,0.454841533,Forest,1,2K,V50,1
2,1,PB159,2KP22142,27.05.14,GT_AMAR_0157,10.86476257,0.569455653,11.12403609,0.578467927,Forest,1,2K,V113,1
2,1,PB159,2KP22142,27.05.14,GT_AMAR_0158,9.996637275,0.500141633,11.12403609,0.578467927,Forest,1,2K,V113,1
2,1,PB159,2KP22142,27.05.14,GT_AMAR_0159,10.77257744,0.672240584,11.12403609,0.578467927,Forest,1,2K,V113,1
2,2,PB159,2KP22142,27.05.14,GT_AMAR_0160,11.83294509,0.555408457,11.12403609,0.578467927,Forest,1,2K,V113,1
2,2,PB159,2KP22142,27.05.14,GT_AMAR_0161,11.18212105,0.512396726,11.12403609,0.578467927,Forest,1,2K,V113,1
2,2,PB159,2KP22142,27.05.14,GT_AMAR_0162,12.0951731,0.66116451,11.12403609,0.578467927,Forest,1,2K,V113,1
2,1,PB184,2KS92329,28.05.14,GT_AMAR_0163,11.87322447,0.63683545,11.26780902,0.652171163,Urban,2,3K+,P96,1
2,1,PB184,2KS92329,28.05.14,GT_AMAR_0164,11.60098369,0.731007997,11.26780902,0.652171163,Urban,2,3K+,P96,1
2,1,PB184,2KS92329,28.05.14,GT_AMAR_0165,10.48366764,0.779516094,11.26780902,0.652171163,Urban,2,3K+,P96,1
2,2,PB184,2KS92329,28.05.14,GT_AMAR_0166,11.60558294,0.606291266,11.26780902,0.652171163,Urban,2,3K+,P96,1
2,2,PB184,2KS92329,28.05.14,GT_AMAR_0167,11.50731602,0.580665005,11.26780902,0.652171163,Urban,2,3K+,P96,1
2,2,PB184,2KS92329,28.05.14,GT_AMAR_0168,10.53607937,0.578711167,11.26780902,0.652171163,Urban,2,3K+,P96,1
2,1,PB306,2KS92393,01.06.14,GT_AMAR_0169,12.76101865,0.653157541,14.27277263,0.804243195,Urban,1,3K+,P129,1
2,1,PB306,2KS92393,01.06.14,GT_AMAR_0170,15.45136826,0.889028534,14.27277263,0.804243195,Urban,1,3K+,P129,1
2,1,PB306,2KS92393,01.06.14,GT_AMAR_0171,14.3041339,0.883562589,14.27277263,0.804243195,Urban,1,3K+,P129,1
2,2,PB306,2KS92393,01.06.14,GT_AMAR_0172,14.55109447,0.753656052,14.27277263,0.804243195,Urban,1,3K+,P129,1
2,2,PB306,2KS92393,01.06.14,GT_AMAR_0173,14.17115158,0.764854637,14.27277263,0.804243195,Urban,1,3K+,P129,1
2,2,PB306,2KS92393,01.06.14,GT_AMAR_0174,14.39786891,0.881199817,14.27277263,0.804243195,Urban,1,3K+,P129,1
2,1,PB304,2KS92392,01.06.14,GT_AMAR_0175,9.088443569,0.756237226,9.251817466,0.671785427,Urban,2,2K,S124,1
2,1,PB304,2KS92392,01.06.14,GT_AMAR_0176,8.685971379,0.778907534,9.251817466,0.671785427,Urban,2,2K,S124,1
2,1,PB304,2KS92392,01.06.14,GT_AMAR_0177,8.961281907,0.735329197,9.251817466,0.671785427,Urban,2,2K,S124,1
2,2,PB304,2KS92392,01.06.14,GT_AMAR_0178,10.16678007,0.531894528,9.251817466,0.671785427,Urban,2,2K,S124,1
2,2,PB304,2KS92392,01.06.14,GT_AMAR_0179,9.362806952,0.480466873,9.251817466,0.671785427,Urban,2,2K,S124,1
2,2,PB304,2KS92392,01.06.14,GT_AMAR_0180,9.245620917,0.747877206,9.251817466,0.671785427,Urban,2,2K,S124,1
