ID,Date,nest,habitat,fledging_survival,sex,age,age2,cross_fostered,birthnest,rearnest,brightness,chroma,ok
2KS92302,25/05/2014,K28,Urban,1,2,2K,2K,0,,,11.17134571,0.401356112,1
2KS91830,16/05/2014,S12,Urban,1,2,3K+,2K,0,,,12.99490501,0.470564223,1
2KR97135,25/05/2014,V150,Forest,1,1,2K,2K,0,,,12.33497625,0.549570303,1
2KS26038,25/05/2014,V184,Forest,1,2,3K+,2K,0,,,12.88034898,0.509387576,1
2KP22119,25/05/2014,V152,Forest,1,2,2K,2K,0,,,11.44003316,0.529989198,1
2KP22120,25/05/2014,V141,Forest,1,1,3K+,2K,0,,,12.86967671,0.503433832,1
2KR97143,26/05/2014,V6,Forest,1,1,2K,2K,0,,,11.22321324,0.475344916,1
2KP22124,26/05/2014,V334,Forest,1,2,2K,2K,0,,,11.04982203,0.512865555,1
2KP22125,26/05/2014,V337,Forest,1,2,2K,2K,0,,,11.58939879,0.442287878,1
2KR97493,26/05/2014,V207,Forest,1,1,3K+,3K+,0,,,15.68856565,0.598170783,1
2KS34225,16/05/2014,P12,Urban,1,1,3K+,3K+,0,,,14.94085102,0.599865082,1
2KR97241,26/05/2014,V207,Forest,1,2,3K+,3K+,0,,,11.06302837,0.494550763,1
2KS70756,16/05/2014,P12,Urban,1,2,3K+,3K+,0,,,12.5798307,0.547307741,1
2KP22138,27/05/2014,V27,Forest,1,2,3K+,3K+,0,,,10.57131458,0.498766691,1
2KR97221,27/05/2014,V134,Forest,1,1,3K+,2K,0,,,13.16892666,0.60029369,1
2KR97540,27/05/2014,V27,Forest,1,1,2K,2K,0,,,10.96879941,0.654910705,1
2KR97419,27/05/2014,V32,Forest,1,1,3K+,2K,0,,,11.93532483,0.607933365,1
2KP22142,27/05/2014,V113,Forest,1,1,2K,2K,0,,,10.98683217,0.602872211,1
2KP22146,27/05/2014,V50,Forest,1,2,2K,2K,0,,,9.122462991,0.591086567,1
2KR97424,27/05/2014,V50,Forest,1,1,2K,2K,0,,,14.53979828,0.507570206,1
2KS91221,17/05/2014,S12,Urban,1,1,2K,2K,0,,,16.06968693,0.511812043,1
2KS92329,28/05/2014,P96,Urban,1,2,3K+,2K,0,,,11.46175143,0.633085877,1
2KS91242,28/05/2014,P26,Urban,1,1,2K,2K,0,,,11.51249939,0.513123199,1
2KS91301,17/05/2014,S123,Urban,1,1,3K+,2K,0,,,16.25975216,0.527443907,1
2KS92264,28/05/2014,P125,Urban,1,2,2K,2K,0,,,11.32006424,0.461057089,1
2KR97487,28/05/2014,V306,Forest,1,1,2K,2K,0,,,11.30104149,0.655679583,1
2KP22167,29/05/2014,V327,Forest,1,2,2K,2K,0,,,11.0976921,0.512686212,1
2KP22170,29/05/2014,V335,Forest,1,2,2K,2K,0,,,10.73945237,0.639731406,1
2KP22172,29/05/2014,V395,Forest,1,1,2K,2K,0,,,8.969602438,0.644678635,1
2KP22173,29/05/2014,V395,Forest,1,2,3K+,2K,0,,,12.54789785,0.659755496,1
2KP22174,29/05/2014,V399,Forest,1,2,2K,2K,0,,,13.27019096,0.582091588,1
2KS70836,17/05/2014,P157,Urban,1,1,3K+,3K+,0,,,11.66224164,0.500378611,1
2KS91834,17/05/2014,P157,Urban,1,2,3K+,3K+,0,,,12.32565062,0.52537924,1
2KS34222,18/05/2014,P169,Urban,1,2,3K+,2K,0,,,12.013956,0.47531237,1
2KS91226,18/05/2014,P169,Urban,1,1,2K,2K,0,,,12.5049949,0.441010536,1
2KS91835,18/05/2014,P107,Urban,1,2,2K,2K,0,,,13.50779707,0.544975108,1
2KP22107,19/05/2014,V304,Forest,1,1,3K+,3K+,0,,,11.93225097,0.479560091,1
2KR97319,31/05/2014,V124,Forest,1,1,3K+,3K+,0,,,11.37875852,0.707345009,1
2KR97334,31/05/2014,V177,Forest,1,1,3K+,2K,0,,,11.33917728,0.678773615,1
2KS91261,01/06/2014,S124,Urban,1,1,2K,2K,0,,,12.39309357,0.467637525,1
2KS92392,01/06/2014,S124,Urban,1,2,2K,2K,0,,,8.453743113,0.656325123,1
2KS92393,01/06/2014,P129,Urban,1,1,3K+,3K+,0,,,14.10476156,0.756836232,1
2KP22109,19/05/2014,V355,Forest,1,2,3K+,2K,0,,,16.07642789,0.620137632,1
2KS91836,20/05/2014,S1,Urban,1,2,2K,2K,0,,,12.79478976,0.33539615,1
2KS91840,21/05/2014,P42,Urban,1,2,2K,2K,0,,,17.68279709,0.607244855,1
2KR97093,21/05/2014,V128,Forest,1,1,3K+,3K+,0,,,11.14693848,0.621321205,1
2KR97491,21/05/2014,V300,Forest,1,2,3K+,2K,0,,,12.88012476,0.468988525,1
2KS26381,21/05/2014,V65,Forest,1,1,2K,2K,0,,,14.78024732,0.539195378,1
2KP22111,22/05/2014,V22,Forest,1,2,3K+,3K+,0,,,15.08552421,0.508140001,1
2KP22112,22/05/2014,V198,Forest,1,1,3K+,3K+,0,,,13.34749744,0.483041562,1
2KR97230,22/05/2014,V142,Forest,1,1,3K+,3K+,0,,,15.32389224,0.558539215,1
2KS91843,22/05/2014,K1,Urban,1,1,3K+,3K+,0,,,13.53394762,0.538980543,1
2KS91303,22/05/2014,S27,Urban,1,1,3K+,3K+,0,,,15.42614021,0.481677039,1
2KN81898,23/05/2014,P141,Urban,1,2,3K+,3K+,0,,,13.85753668,0.479665602,1
2KS91856,23/05/2014,P141,Urban,1,1,3K+,3K+,0,,,11.49256916,0.54648016,1
2KS34248,23/05/2014,P32,Urban,1,2,3K+,3K+,0,,,11.44771093,0.517780212,1
2KS91826,15/05/2014,S14,Urban,1,1,3K+,2K,0,,,12.75609918,0.558850666,1
