measure,pack,id,samp_date,spectrum,meas date,feather_num,YB,YH,YC,id2,rep,ok,habitat,area,sex,age
2,2,PB204,29.05.14,GT_AMAR_0126,28.03.21,4,11.85077773,493,0.427761913,PB204_2,1,1,Forest,Malmo,2,2K
2,1,PB158,27.05.14,GT_AMAR_0127,28.03.21,4,12.47983727,498,0.609686411,PB158_2,1,1,Forest,Malmo,1,3K+
2,1,PB158,27.05.14,GT_AMAR_0128,28.03.21,4,13.11445785,493,0.557965526,PB158_2,1,1,Forest,Malmo,1,3K+
2,1,PB158,27.05.14,GT_AMAR_0129,28.03.21,4,11.03338338,498,0.597888131,PB158_2,1,1,Forest,Malmo,1,3K+
2,2,PB158,27.05.14,GT_AMAR_0130,28.03.21,4,11.84300481,498,0.570773749,PB158_2,1,1,Forest,Malmo,1,3K+
2,2,PB158,27.05.14,GT_AMAR_0131,28.03.21,4,13.11272863,498,0.622399326,PB158_2,1,1,Forest,Malmo,1,3K+
2,2,PB158,27.05.14,GT_AMAR_0132,28.03.21,4,12.33431725,498,0.700445217,PB158_2,1,1,Forest,Malmo,1,3K+
2,1,PB154,27.05.14,GT_AMAR_0133,28.03.21,4,11.19554377,498,0.648748,PB154_2,1,1,Forest,Malmo,1,2K
2,1,PB154,27.05.14,GT_AMAR_0134,28.03.21,4,10.70127749,498,0.717312435,PB154_2,1,1,Forest,Malmo,1,2K
2,1,PB154,27.05.14,GT_AMAR_0135,28.03.21,4,11.09585982,498,0.740590173,PB154_2,1,1,Forest,Malmo,1,2K
2,2,PB154,27.05.14,GT_AMAR_0136,28.03.21,4,11.56459127,498,0.603186879,PB154_2,1,1,Forest,Malmo,1,2K
2,2,PB154,27.05.14,GT_AMAR_0137,28.03.21,4,10.3798454,493,0.637646527,PB154_2,1,1,Forest,Malmo,1,2K
2,2,PB154,27.05.14,GT_AMAR_0138,28.03.21,4,10.82421432,493,0.670131118,PB154_2,1,1,Forest,Malmo,1,2K
2,1,PB185,28.05.14,GT_AMAR_0139,28.03.21,4,12.73810748,493,0.516241919,PB185_2,1,1,Urban,Malmo,1,2K
2,1,PB185,28.05.14,GT_AMAR_0140,28.03.21,4,11.15345805,493,0.553989091,PB185_2,1,1,Urban,Malmo,1,2K
2,1,PB185,28.05.14,GT_AMAR_0141,28.03.21,4,12.06684652,493,0.470366417,PB185_2,1,1,Urban,Malmo,1,2K
2,2,PB185,28.05.14,GT_AMAR_0142,28.03.21,4,11.14022651,493,0.412251611,PB185_2,1,1,Urban,Malmo,1,2K
2,2,PB185,28.05.14,GT_AMAR_0143,28.03.21,4,11.35881591,493,0.570300912,PB185_2,1,1,Urban,Malmo,1,2K
2,2,PB185,28.05.14,GT_AMAR_0144,28.03.21,4,11.61774398,498,0.700657651,PB185_2,1,1,Urban,Malmo,1,2K
2,1,PB165,27.05.14,GT_AMAR_0145,28.03.21,4,14.56307104,498,0.513312308,PB165_2,1,1,Forest,Malmo,1,2K
2,1,PB165,27.05.14,GT_AMAR_0146,28.03.21,4,15.26987088,493,0.404332312,PB165_2,1,1,Forest,Malmo,1,2K
2,1,PB165,27.05.14,GT_AMAR_0147,28.03.21,4,15.03536334,493,0.461161539,PB165_2,1,1,Forest,Malmo,1,2K
2,2,PB165,27.05.14,GT_AMAR_0148,28.03.21,4,13.90502816,493,0.452732528,PB165_2,1,1,Forest,Malmo,1,2K
2,2,PB165,27.05.14,GT_AMAR_0149,28.03.21,4,14.83114968,498,0.420271803,PB165_2,1,1,Forest,Malmo,1,2K
2,2,PB165,27.05.14,GT_AMAR_0150,28.03.21,4,15.37173784,493,0.477238708,PB165_2,1,1,Forest,Malmo,1,2K
2,1,PB159,27.05.14,GT_AMAR_0157,28.03.21,4,10.86476257,493,0.569455653,PB159_2,1,1,Forest,Malmo,1,2K
2,1,PB159,27.05.14,GT_AMAR_0158,28.03.21,4,9.996637275,647,0.500141633,PB159_2,1,1,Forest,Malmo,1,2K
2,1,PB159,27.05.14,GT_AMAR_0159,28.03.21,4,10.77257744,493,0.672240584,PB159_2,1,1,Forest,Malmo,1,2K
2,2,PB159,27.05.14,GT_AMAR_0160,28.03.21,4,11.83294509,493,0.555408457,PB159_2,1,1,Forest,Malmo,1,2K
2,2,PB159,27.05.14,GT_AMAR_0161,28.03.21,4,11.18212105,493,0.512396726,PB159_2,1,1,Forest,Malmo,1,2K
2,2,PB159,27.05.14,GT_AMAR_0162,28.03.21,4,12.0951731,498,0.66116451,PB159_2,1,1,Forest,Malmo,1,2K
2,1,PB184,28.05.14,GT_AMAR_0163,28.03.21,4,11.87322447,493,0.63683545,PB184_2,1,1,Urban,Malmo,2,3K+
2,1,PB184,28.05.14,GT_AMAR_0164,28.03.21,4,11.60098369,498,0.731007997,PB184_2,1,1,Urban,Malmo,2,3K+
2,1,PB184,28.05.14,GT_AMAR_0165,28.03.21,4,10.48366764,493,0.779516094,PB184_2,1,1,Urban,Malmo,2,3K+
2,2,PB184,28.05.14,GT_AMAR_0166,28.03.21,4,11.60558294,493,0.606291266,PB184_2,1,1,Urban,Malmo,2,3K+
2,2,PB184,28.05.14,GT_AMAR_0167,28.03.21,4,11.50731602,493,0.580665005,PB184_2,1,1,Urban,Malmo,2,3K+
2,2,PB184,28.05.14,GT_AMAR_0168,28.03.21,4,10.53607937,493,0.578711167,PB184_2,1,1,Urban,Malmo,2,3K+
2,1,PB306,01.06.14,GT_AMAR_0169,28.03.21,4,12.76101865,493,0.653157541,PB306_2,1,1,Urban,Malmo,1,3K+
2,1,PB306,01.06.14,GT_AMAR_0170,28.03.21,4,15.45136826,498,0.889028534,PB306_2,1,1,Urban,Malmo,1,3K+
2,1,PB306,01.06.14,GT_AMAR_0171,28.03.21,4,14.3041339,498,0.883562589,PB306_2,1,1,Urban,Malmo,1,3K+
2,2,PB306,01.06.14,GT_AMAR_0172,28.03.21,4,14.55109447,498,0.753656052,PB306_2,1,1,Urban,Malmo,1,3K+
2,2,PB306,01.06.14,GT_AMAR_0173,28.03.21,4,14.17115158,498,0.764854637,PB306_2,1,1,Urban,Malmo,1,3K+
2,2,PB306,01.06.14,GT_AMAR_0174,28.03.21,4,14.39786891,498,0.881199817,PB306_2,1,1,Urban,Malmo,1,3K+
2,1,PB304,01.06.14,GT_AMAR_0175,28.03.21,4,9.088443569,498,0.756237226,PB304_2,1,1,Urban,Malmo,2,2K
2,1,PB304,01.06.14,GT_AMAR_0176,28.03.21,4,8.685971379,498,0.778907534,PB304_2,1,1,Urban,Malmo,2,2K
2,1,PB304,01.06.14,GT_AMAR_0177,28.03.21,4,8.961281907,493,0.735329197,PB304_2,1,1,Urban,Malmo,2,2K
2,2,PB304,01.06.14,GT_AMAR_0178,28.03.21,4,10.16678007,493,0.531894528,PB304_2,1,1,Urban,Malmo,2,2K
2,2,PB304,01.06.14,GT_AMAR_0179,28.03.21,4,9.362806952,493,0.480466873,PB304_2,1,1,Urban,Malmo,2,2K
2,2,PB304,01.06.14,GT_AMAR_0180,28.03.21,4,9.245620917,498,0.747877206,PB304_2,1,1,Urban,Malmo,2,2K
2,1,PB303,01.06.14,GT_AMAR_0181,28.03.21,4,12.64962396,498,0.423606467,PB303_2,1,1,Urban,Malmo,1,2K
2,1,PB303,01.06.14,GT_AMAR_0182,28.03.21,4,11.78680998,498,0.456366233,PB303_2,1,1,Urban,Malmo,1,2K
2,1,PB303,01.06.14,GT_AMAR_0183,28.03.21,4,11.62689388,493,0.462698481,PB303_2,1,1,Urban,Malmo,1,2K
2,2,PB303,01.06.14,GT_AMAR_0184,28.03.21,4,11.38213226,493,0.465364706,PB303_2,1,1,Urban,Malmo,1,2K
2,2,PB303,01.06.14,GT_AMAR_0185,28.03.21,4,11.70028366,498,0.514713425,PB303_2,1,1,Urban,Malmo,1,2K
2,2,PB303,01.06.14,GT_AMAR_0186,28.03.21,4,13.41327486,498,0.413844818,PB303_2,1,1,Urban,Malmo,1,2K
1,1,PB203,28.05.14,GT_AMAR_0187,28.03.21,4,9.671454586,493,0.722434186,PB203_1,1,1,Forest,Malmo,1,2K
1,1,PB203,28.05.14,GT_AMAR_0188,28.03.21,4,9.736921937,498,0.755726252,PB203_1,1,1,Forest,Malmo,1,2K
1,1,PB203,28.05.14,GT_AMAR_0189,28.03.21,4,9.929673099,498,0.684817061,PB203_1,1,1,Forest,Malmo,1,2K
1,2,PB203,28.05.14,GT_AMAR_0190,28.03.21,4,10.55208437,498,0.655977396,PB203_1,1,1,Forest,Malmo,1,2K
1,2,PB203,28.05.14,GT_AMAR_0191,28.03.21,4,11.95669762,498,0.701461753,PB203_1,1,1,Forest,Malmo,1,2K
1,2,PB203,28.05.14,GT_AMAR_0192,28.03.21,4,11.61426064,498,0.750534234,PB203_1,1,1,Forest,Malmo,1,2K
2,1,PB210,29.05.14,GT_AMAR_0193,28.03.21,4,8.352354904,498,0.575087212,PB210_2,1,1,Forest,Malmo,1,2K
2,1,PB210,29.05.14,GT_AMAR_0194,28.03.21,4,9.179844365,493,0.560707529,PB210_2,1,1,Forest,Malmo,1,2K
2,1,PB210,29.05.14,GT_AMAR_0195,28.03.21,4,8.997557761,493,0.764693438,PB210_2,1,1,Forest,Malmo,1,2K
