id,samp_date,spectrum,YC,YB,birthnest,rearnest,habitat_origin,habitat_rearing,cross_fostered,sex
BC128,5.6.13,COL_AM_POLLOS_0123,0.413788579,11.20791009,P55,V153,Urban,Forest,1,2
BC128,5.6.13,COL_AM_POLLOS_0124,0.455398118,9.119072186,P55,V153,Urban,Forest,1,2
BC128,5.6.13,COL_AM_POLLOS_0125,0.44666389,13.90268162,P55,V153,Urban,Forest,1,2
BC128,5.6.13,COL_AM_POLLOS_0126,0.549674874,10.46174729,P55,V153,Urban,Forest,1,2
BC129,5.6.13,COL_AM_POLLOS_0127,0.585178682,8.967118034,V153,V153,Forest,Forest,0,2
BC129,5.6.13,COL_AM_POLLOS_0128,0.550580707,7.722778233,V153,V153,Forest,Forest,0,2
BC129,5.6.13,COL_AM_POLLOS_0129,0.548976501,10.82908219,V153,V153,Forest,Forest,0,2
BC129,5.6.13,COL_AM_POLLOS_0130,0.446395362,10.91076476,V153,V153,Forest,Forest,0,2
BC129,5.6.13,COL_AM_POLLOS_0131,0.494274958,9.004213784,V153,V153,Forest,Forest,0,2
BC129,5.6.13,COL_AM_POLLOS_0132,0.488478931,8.01888928,V153,V153,Forest,Forest,0,2
BC149,7.6.13,COL_AM_POLLOS_0133,0.681980666,12.42488905,V148,V148,Forest,Forest,0,2
BC149,7.6.13,COL_AM_POLLOS_0134,0.605168048,11.32800682,V148,V148,Forest,Forest,0,2
BC149,7.6.13,COL_AM_POLLOS_0135,0.570198733,13.23248064,V148,V148,Forest,Forest,0,2
BC149,7.6.13,COL_AM_POLLOS_0136,0.506762566,12.63715458,V148,V148,Forest,Forest,0,2
BC149,7.6.13,COL_AM_POLLOS_0137,0.39297107,10.3169262,V148,V148,Forest,Forest,0,2
BC149,7.6.13,COL_AM_POLLOS_0138,0.58268033,12.97547182,V148,V148,Forest,Forest,0,2
BC150,7.6.13,COL_AM_POLLOS_0139,0.636379922,11.63716443,S124,V148,Urban,Forest,1,1
BC150,7.6.13,COL_AM_POLLOS_0140,0.568841907,11.57911249,S124,V148,Urban,Forest,1,1
BC150,7.6.13,COL_AM_POLLOS_0141,0.602128933,10.66971078,S124,V148,Urban,Forest,1,1
BC150,7.6.13,COL_AM_POLLOS_0142,0.607392923,12.62601007,S124,V148,Urban,Forest,1,1
BC150,7.6.13,COL_AM_POLLOS_0143,0.597558354,11.19947227,S124,V148,Urban,Forest,1,1
BC150,7.6.13,COL_AM_POLLOS_0144,0.673570124,13.42922502,S124,V148,Urban,Forest,1,1
BC151,7.6.13,COL_AM_POLLOS_0145,0.765587825,9.9882299,S124,V148,Urban,Forest,1,1
BC151,7.6.13,COL_AM_POLLOS_0146,0.596616444,10.48806291,S124,V148,Urban,Forest,1,1
BC151,7.6.13,COL_AM_POLLOS_0147,0.555139993,8.623274157,S124,V148,Urban,Forest,1,1
BC151,7.6.13,COL_AM_POLLOS_0148,0.505056521,10.56011729,S124,V148,Urban,Forest,1,1
BC151,7.6.13,COL_AM_POLLOS_0149,0.555199022,9.256806492,S124,V148,Urban,Forest,1,1
BC151,7.6.13,COL_AM_POLLOS_0150,0.524434409,10.86781028,S124,V148,Urban,Forest,1,1
BC153,7.6.13,COL_AM_POLLOS_0151,0.680917975,11.64978829,V148,V148,Forest,Forest,0,1
BC153,7.6.13,COL_AM_POLLOS_0152,0.484054199,12.39059975,V148,V148,Forest,Forest,0,1
BC153,7.6.13,COL_AM_POLLOS_0153,0.590255389,10.68490895,V148,V148,Forest,Forest,0,1
BC153,7.6.13,COL_AM_POLLOS_0154,0.456874427,12.42019779,V148,V148,Forest,Forest,0,1
BC153,7.6.13,COL_AM_POLLOS_0155,0.544909908,12.46801653,V148,V148,Forest,Forest,0,1
BC153,7.6.13,COL_AM_POLLOS_0156,0.557497385,11.58469628,V148,V148,Forest,Forest,0,1
BC244,11.6.13,COL_AM_POLLOS_0157,0.510953455,8.553017277,P138,V374,Urban,Forest,1,1
BC244,11.6.13,COL_AM_POLLOS_0158,0.354253909,10.12921126,P138,V374,Urban,Forest,1,1
