id,samp_date,spectrum,YC,YB,habitat,area,sex,age
2A211155,10.05.14,GT_AMAR_1158,0.532520131,12.02524931,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1339,0.497510293,13.95067645,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1340,0.653794245,12.99647974,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1341,0.575827411,14.03201813,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1342,0.503227061,14.24438631,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1343,0.606967171,13.24552349,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1344,0.724810569,13.17168518,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1405,0.710803666,11.3895233,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1406,0.536767751,13.88809805,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1407,0.538849956,14.34324545,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1408,0.77793613,14.40245444,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1409,0.807192037,13.80001644,Forest,Madrid,2,1yr
2A211156,10.05.14,GT_AMAR_1410,0.630203601,15.04027518,Forest,Madrid,2,1yr
2A211157,10.05.14,GT_AMAR_1219,0.766478902,9.117751119,Forest,Madrid,2,1yr
2A211157,10.05.14,GT_AMAR_1220,0.724050087,11.3127133,Forest,Madrid,2,1yr
2A211157,10.05.14,GT_AMAR_1221,0.921846787,9.882686874,Forest,Madrid,2,1yr
2A211157,10.05.14,GT_AMAR_1222,0.654183895,8.86547904,Forest,Madrid,2,1yr
2A211157,10.05.14,GT_AMAR_1223,0.687809908,9.224590104,Forest,Madrid,2,1yr
2A211157,10.05.14,GT_AMAR_1224,0.627021772,8.369199129,Forest,Madrid,2,1yr
2A211161,10.05.2014,GT_AMAR_1183,0.566029761,11.91819508,Forest,Madrid,1,1yr
2A211161,10.05.2014,GT_AMAR_1184,0.47239627,12.11762993,Forest,Madrid,1,1yr
2A211161,10.05.2014,GT_AMAR_1185,0.553187307,11.3722804,Forest,Madrid,1,1yr
2A211161,10.05.2014,GT_AMAR_1186,0.725432291,11.60644971,Forest,Madrid,1,1yr
2A211161,10.05.2014,GT_AMAR_1187,0.637205976,10.28761008,Forest,Madrid,1,1yr
2A211161,10.05.2014,GT_AMAR_1188,0.475553345,12.60120095,Forest,Madrid,1,1yr
2A211162,17.05.14,GT_AMAR_1171,0.68124902,13.01347319,Forest,Madrid,2,1yr
2A211162,17.05.14,GT_AMAR_1172,0.546279941,12.23225709,Forest,Madrid,2,1yr
2A211162,17.05.14,GT_AMAR_1173,0.553186635,13.71505088,Forest,Madrid,2,1yr
2A211162,17.05.14,GT_AMAR_1174,0.557792158,12.96822242,Forest,Madrid,2,1yr
2A211162,17.05.14,GT_AMAR_1175,0.554944073,12.66337982,Forest,Madrid,2,1yr
2A211162,17.05.14,GT_AMAR_1176,0.620341246,12.19908272,Forest,Madrid,2,1yr
2A211169,24.05.14,GT_AMAR_1327,0.726457144,18.36180683,Forest,Madrid,1,1yr
2A211169,24.05.14,GT_AMAR_1328,0.871513646,17.78997526,Forest,Madrid,1,1yr
