ID,Label,nest,habitat,habitat_origin,habitat_rearing,fledging_survival,date,March,days_march,sex,age,weight,tarsus,wing,cross_fostered,cross_pair,swap_day,birthnest,rearnest,clutch,brightness,chroma,uv,brightness_b,chroma_b,brightness_final,chroma_final
2KR97786,BC249,V374,Rural,Urban,Rural,1,11/06/2013,31/03/2013,72,2,Pull,14.6,20.9,-,1,V374-P138,59,P138,V374,7,8.533965159,0.338374372,0.250196677,8.533965159,0.338374372,8.533965159,0.338374372
2KS92246,BC297,P148,Urban,Urban,Urban,0,12/06/2013,31/03/2013,73,1,Pull,10.25,20.5,-,0,V303-P148,60,P148,P148,6,7.896481904,0.466665933,0.253849402,7.896481904,0.466665933,7.896481904,0.466665933
2KS92248,BC299,P148,Urban,Urban,Urban,1,12/06/2013,31/03/2013,73,2,Pull,10.4,21,-,0,V303-P148,60,P148,P148,6,9.724435917,0.421948531,0.247328347,9.724435917,0.421948531,9.724435917,0.421948531
2KR97109,BP1,V303,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,2,Pull,14,21.4,-,1,V303-P148,60,P148,V33,8,12.50806864,0.464811769,0.240548529,12.50806864,0.464811769,12.50806864,0.464811769
2KR97114,BP6,V303,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,1,Pull,13,21.95,-,1,V303-P148,60,P148,V33,8,10.01633671,0.451690892,0.248865562,10.01633671,0.451690892,10.01633671,0.451690892
2KS92232,BC283,P23,Urban,Urban,Urban,1,12/06/2013,31/03/2013,73,2,Pull,14.5,20.8,-,0,V15-P23,60,P23,P23,7,10.28755276,0.493453677,0.242096326,10.28755276,0.493453677,10.28755276,0.493453677
2KS92233,BC284,P23,Urban,Urban,Urban,1,12/06/2013,31/03/2013,73,1,Pull,16.25,22.4,-,0,V15-P23,60,P23,P23,7,10.17549732,0.44644317,0.247476342,10.17549732,0.44644317,10.17549732,0.44644317
2KR97154,BP46,V15,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,1,Pull,17.75,23.27,-,1,V15-P23,60,P23,V15,8,12.00275577,0.277369369,0.258277457,12.55033757,0.275034426,12.00275577,0.277369369
2KR97159,BP51,V15,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,1,Pull,18.75,22.55,-,1,V15-P23,60,P23,V15,8,10.25251625,0.36235845,0.251097292,10.25251625,0.36235845,10.25251625,0.36235845
2KS91320,BA72,P31,Urban,Urban,Urban,0,11/06/2013,31/03/2013,72,1,Pull,14.4,21.7,48,0,V135-P31,59,P31,P31,7,10.17636787,0.392324043,0.245838663,10.17636787,0.392324043,10.17636787,0.392324043
2KS91319,BA71,P31,Urban,Urban,Urban,1,11/06/2013,31/03/2013,72,1,Pull,15.3,22.3,53,0,V135-P31,59,P31,P31,7,9.562905627,0.413172383,0.245490072,9.562905627,0.413172383,9.562905627,0.413172383
2KS91321,BA73,P31,Urban,Urban,Urban,1,11/06/2013,31/03/2013,72,1,Pull,15.6,22.9,52.5,0,V135-P31,59,P31,P31,7,8.602559478,0.477741741,0.241854746,8.602559478,0.477741741,8.602559478,0.477741741
2KR97795,BC263,V135,Rural,Urban,Rural,1,11/06/2013,31/03/2013,72,2,Pull,17.9,21.6,-,1,V135-P31,59,P31,V135,7,8.108314416,0.34647469,0.258175121,8.108314416,0.34647469,8.108314416,0.34647469
2KR97797,BC265,V135,Rural,Urban,Rural,1,11/06/2013,31/03/2013,72,1,Pull,17.75,22.6,-,1,V135-P31,59,P31,V135,7,8.361735333,0.374383882,0.254827987,8.361735333,0.374383882,8.361735333,0.374383882
2KS92230,BC281,P48,Urban,Urban,Urban,1,12/06/2013,31/03/2013,73,1,Pull,14.75,21.8,-,0,V140-P48,60,P48,P48,8,8.350743948,0.42613774,0.248219206,16.7014879,0.85227548,8.350743948,0.42613774
2KR97127,BP19,V140,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,1,Pull,14.25,22.76,-,1,V140-P48,60,P48,V140,9,12.34722719,0.358059155,0.252754651,24.69445438,0.716118309,12.34722719,0.358059155
2KR97128,BP20,V140,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,2,Pull,13.25,21.5,-,1,V140-P48,60,P48,V140,9,10.84931567,0.363376978,0.251739504,21.69863134,0.726753956,10.84931567,0.363376978
2KS91277,BC107,P55,Urban,Urban,Urban,1,05/06/2013,31/03/2013,66,1,Pull,16,22.2,-,0,V153-P55,53,P55,P55,7,14.21373686,0.508956233,0.242722514,15.02565285,0.439928011,14.21373686,0.508956233
2KS91280,BC110,P55,Urban,Urban,Urban,1,05/06/2013,31/03/2013,66,2,Pull,16.2,21.5,-,0,V153-P55,53,P55,P55,7,10.10333991,0.44401035,0.241273073,20.20667982,0.888020699,10.10333991,0.444010349
2KR97104,BC125,V153,Rural,Urban,Rural,1,05/06/2013,31/03/2013,66,2,Pull,14.25,21.2,-,1,V153-P55,53,P55,V153,8,8.215860192,0.511527662,0.236373699,10.02955375,0.370053536,8.215860192,0.511527662
2KR97107,BC128,V153,Rural,Urban,Rural,1,05/06/2013,31/03/2013,66,2,Pull,14.75,22.2,-,1,V153-P55,53,P55,V153,8,11.0291616,0.457089786,0.242220186,10.45445759,0.457089786,10.45445759,0.457089786
2KS91338,BA90,P67,Urban,Urban,Urban,1,14/06/2013,31/03/2013,75,1,Pull,15.4,20.9,43.5,0,V381-P67,62,P67,P67,7,10.36154533,0.312830901,0.255749126,10.38404009,0.303566966,10.36154533,0.312830901
2KR97517,BP108,V381,Rural,Urban,Rural,1,14/06/2013,31/03/2013,75,1,Pull,15.5,22.09,-,1,V381-P67,62,P67,V381,8,12.53995003,0.364004729,0.249501437,25.07990006,0.728009457,12.53995003,0.364004729
2KR97520,BP111,V381,Rural,Urban,Rural,1,14/06/2013,31/03/2013,75,2,Pull,15,22.02,-,1,V381-P67,62,P67,V381,8,9.198013554,0.393511117,0.246974199,9.198013554,0.393511117,9.198013554,0.393511117
2KS92228,BC278,P9,Urban,Urban,Urban,1,12/06/2013,31/03/2013,73,1,Pull,13.2,22.3,-,0,V219-P9,60,P9,P9,7,9.168944054,0.401447291,0.258589901,9.209095208,0.401447291,9.209095208,0.401447291
2KR97148,BP40,V219,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,2,Pull,17,21.74,-,1,V219-P9,60,P9,V219,8,10.47805501,0.400960777,0.239786126,10.47805501,0.400960777,10.47805501,0.400960777
2KR97150,BP42,V219,Rural,Urban,Rural,1,12/06/2013,31/03/2013,73,1,Pull,18.25,22.17,-,1,V219-P9,60,P9,V219,8,12.4092535,0.359607075,0.250149737,12.4092535,0.359607075,12.4092535,0.359607075
2KS91307,BA59,S124,Urban,Urban,Urban,1,07/06/2013,31/03/2013,68,1,Pull,16.4,23.2,49,0,V148-S124,55,S124,S124,6,9.914389591,0.442556522,0.248789366,9.914389591,0.442556522,9.914389591,0.442556522
2KS91312,BA64,S124,Urban,Urban,Urban,1,07/06/2013,31/03/2013,68,2,Pull,14.3,22.6,54,0,V148-S124,55,S124,S124,6,13.27469337,0.455521242,0.241757291,13.27469337,0.455521242,13.27469337,0.455521242
2KR97717,BC150,V148,Rural,Urban,Rural,1,07/06/2013,31/03/2013,68,1,Pull,19.4,23.2,-,1,V148-S124,55,S124,V148,7,11.85678251,0.614312027,0.233617422,11.99127562,0.474081195,11.85678251,0.614312027
2KR97718,BC151,V148,Rural,Urban,Rural,1,07/06/2013,31/03/2013,68,1,Pull,18.9,23.2,-,1,V148-S124,55,S124,V148,7,9.680612616,0.596433006,0.239146378,19.61718473,0.609193643,9.680612616,0.57824146
2KS92251,BC302,S8,Urban,Urban,Urban,0,13/06/2013,31/03/2013,74,1,Pull,16.25,22,-,0,V238-S8,61,S8,S8,8,8.470922808,0.414582533,0.252051788,16.94184562,0.791707586,8.470922808,0.395853793
2KR97618,BC324,V238,Rural,Urban,Rural,1,13/06/2013,31/03/2013,74,2,Pull,18,22.5,-,1,V238-S8,61,S8,V238,10,10.06441509,0.471549979,0.240570148,10.06441509,0.471549979,10.06441509,0.471549979
2KR97619,BC325,V238,Rural,Urban,Rural,1,13/06/2013,31/03/2013,74,2,Pull,17.6,22.1,-,1,V238-S8,61,S8,V238,10,10.06441509,0.471549979,0.240570148,10.06441509,0.471549979,10.06441509,0.471549979
2KR97620,BC326,V238,Rural,Urban,Rural,1,13/06/2013,31/03/2013,74,1,Pull,17.75,22.1,-,1,V238-S8,61,S8,V238,10,10.21861003,0.444596137,0.242859449,10.21861003,0.444596137,10.21861003,0.444596137
